year,Oil,Flaring,Cement,Coal,Gas,Other
1850,,,,196896032,,
1851,,,,198804976,,
1852,,,,207550944,,
1853,,,,217209248,,
1854,,,,255138976,,
1855,36640,,,260129344,,
1856,40304,,,277251216,,
1857,51296,,,279838000,,
1858,62288,,,284109562,,
1859,54955,,,301257605,,
1860,273640,,,330368551,,
1861,941192,,,346794050,,
1862,1398836,,,352658626,,
1863,1293405,,,376566532,,
1864,1110374,,,405980734,,
1865,1320233,,,430987556,,
1866,1952415,,,444018184,,
1867,1985699,,,475829213,,
1868,2290049,,,488462447,,
1869,2615575,,,518515145,,
1870,3134375,,,529402377,,
1871,3283110,,,562859850,,
1872,3699385,,,622672407,,
1873,5671917,,,659747123,,
1874,6246580,,,616750668,,
1875,5840174,,,669958978,,
1876,6542820,,,679009900,,
1877,8831412,,,690267116,,
1878,10050135,,,694331594,,
1879,12669544,,,742199965,,
1880,15375695,,171,838331321,,
1881,17254324,,207,865152944,,
1882,18951905,,269,912807657,164880,
1883,16516233,,346,974138054,381051,
1884,18334449,,330,982670485,1172480,
1885,18970139,,343,986988793,3715296,
1886,21834997,,372,995967435,7676080,
1887,23490106,,553,1041483931,11787088,
1888,24588606,,537,1150913135,16773792,
1889,28417481,,578,1151159605,12226768,
1890,34660564,,661,1252114303,11688053,
1891,40838632,,679,1309092891,8947488,
1892,40214726,,724,1322104076,7775008,
1893,42556078,,661,1303830601,7287696,
1894,41715223,,691,1352450833,6697850,
1895,48546524,,721,1429691939,7042154,
1896,52580123,,786,1474282128,6847964,
1897,55541931,,908,1543480159,7287643,
1898,57184590,,1001,1628631400,8460176,
1899,60052103,,1282,1779948517,10904064,
1900,67329668,,1386,1873352000,11541600,
1901,74763057,,1656,1929135574,12860640,
1902,80822394,,2145,1973277042,13696032,
1903,85582211,,2533,2155964746,14527760,
1904,96111593,,2732,2168744227,15165234,
1905,97055165,,3491,2313422758,17169504,
1906,97936530,,4470,2432774211,19027152,
1907,119469540,,4601,2743876161,19877139,
1908,128813493,,115376,2625993292,19675680,
1909,134404887,,115604,2726692492,23522878,
1910,143890299,,135359,2856300807,24915200,
1911,152606020,,148032,2901716719,25717653,
1912,156835220,,176655,3040657684,28315392,
1913,181664432,,202674,3278525801,29597792,
1914,185655142,,146584,2950129320,30136463,
1915,197157563,,160254,2893484425,31865750,
1916,214688969,,181265,3117193075,38376810,
1917,238863331,,148203,3245711120,40509124,
1918,244624859,,119547,3195794933,36519090,
1919,272971226,,124700,2701629743,37948035,
1920,350960543,,148844,3112455656,41685394,
1921,384269108,,129526,2654960471,34992067,
1922,426358131,,192706,2757366894,40106756,
1923,473540353,,207881,3132092617,52525941,
1924,470835771,,215951,3138926125,59707555,
1925,492806670,,14341240,3138718829,63920274,
1926,490690153,,14651099,3067699555,69142085,
1927,537870433,,15355300,3349258707,76014443,
1928,549606916,,35521484,3291869503,82620625,
1929,602842621,,36780462,3509775811,102891182,
1930,578645200,,35473151,3202446125,104220017,
1931,560804379,,30864589,2818888567,92880768,
1932,536688914,,24680381,2508233248,88210567,
1933,586516296,,23831321,2623658235,90907579,
1934,620579504,,28499456,2865026800,101938085,
1935,668986597,,32049002,2981713282,111359005,
1936,729371730,,38701338,3274492999,125513718,
1937,821758094,,40765565,3453105615,140558110,
1938,797244334,,38493675,3221827593,135476656,
1939,830500779,,35620339,3427850823,141311396,
1940,872809155,,31359543,3789036452,153493995,
1941,880973888,,43203693,3877511176,153463220,
1942,835748088,,38277342,3895616237,166048943,
1943,888078027,,34735681,3913209387,182899895,
1944,1018274624,,22614520,3862619053,197600826,
1945,1008623792,,22935004,2992538614,216679782,
1946,1140208878,,36240218,3229253136,223814151,
1947,1221684131,,43089499,3612999799,247864300,
1948,1339993790,,51570953,3724614242,280095394,
1949,1337079915,,58148146,3543268913,300425010,
1950,1648791183,73624416,66855153,3855859103,353120535,
1951,1742875458,79875260,75703654,4059651860,416148459,
1952,1838574177,85363804,80703664,4008654195,447043842,
1953,1952671664,81348030,89482869,4043288487,474481964,
1954,2069160472,77612011,97082533,4039060204,501299974,
1955,2312550563,96835843,107402335,4372277508,547172568,
1956,2508770458,108173769,116449611,4596625428,587149682,
1957,2622014159,106385515,122443925,4681300882,646557938,
1958,2727102307,95114847,129604894,4753928891,705687714,
1959,2905371421,91693532,145150599,4947613192,758071377,
1960,3126929139,89140213,157315673,5151701016,834340441,
1961,3313835237,86219069,164073922,4942321379,881794480,
1962,3562187050,85930795,176305228,4927903621,967452941,
1963,3807476482,90506188,185936697,5109241750,1046611896,
1964,4107789375,112791867,206118338,5214544303,1152633238,
1965,4412700661,130442812,216411590,5292818501,1230327394,
1966,4761902311,144566086,233003061,5350565046,1339603988,
1967,5076966087,190782930,239902562,5265494824,1432699511,
1968,5530065631,203800258,255442703,5322694664,1559316127,
1969,5980282309,244034831,270887163,5521404959,1708253579,
1970,6800497281,277744916,288599003,5696011170,1790364862,
1971,7201874822,321397912,297799297,5699522619,1933010611,
1972,7765397713,346839294,315799949,5693350022,2051692973,
1973,8302781814,402112306,334597733,5853791539,2133881621,
1974,8185499402,391315144,334855829,5866040636,2179495726,
1975,8114606275,336647103,333111490,6009965840,2204997360,
1976,8552994574,395360368,347618873,6292415479,2345566810,
1977,8878314201,381408068,364227724,6429695584,2391193406,
1978,9148595378,390115621,386880520,6597322201,2493777655,
1979,9304128336,360111268,392617174,6856754793,2643942283,
1980,8960159014,316416742,395543915,7054757557,2717533912,
1981,8547767386,237221636,395089529,7037761193,2762398601,
1982,8339887988,235710853,393738911,7160349200,2701060001,
1983,8245443488,213060815,402792252,7355719407,2732747000,
1984,8331706886,187039722,411254280,7704373895,2970105902,
1985,8332610941,181808247,416418454,8247090923,3084282654,
1986,8584108764,170101722,434335469,8347766536,3023662134,
1987,8666767313,163513056,453244555,8637351557,3270912062,
1988,8978664078,186133579,479306007,8932728356,3435404519,
1989,9137664142,151422415,492059753,8956528466,3582448543,
1990,9218258601,253078806,499175393,8714693023,3841497600,222870938
1991,9690863545,267727408,512581861,8632497325,3919078715,215353294
1992,9187135313,237271345,534352220,8432359567,3962802544,215703291
1993,9198667703,233519645,555907450,8530222838,4070111356,215066358
1994,9234924803,237025353,592506349,8578204121,4106646496,215276238
1995,9331868024,235064452,626550828,8823056385,4215055506,222349258
1996,9607797352,237258733,639057693,9048362701,4401812313,220672413
1997,9760159154,242862690,658857460,8999357825,4417083189,222230113
1998,9850361673,231476546,654331642,8761668797,4489340027,219092585
1999,10074986970,223914260,685076679,8694799612,4622640644,217544124
2000,10284600677,269650162,717654459,9012492044,4734842449,214967459
2001,10374439074,271823244,747881027,9062811801,4782718834,211380519
2002,10369749676,286896420,788754583,9455515439,4923490001,214785359
2003,10663935089,288325988,847687932,10250968004,5096388834,219417443
2004,11014797542,311239579,906843713,10897002590,5267578542,230071069
2005,11105160850,332128320,960271948,11570086087,5394104882,241025108
2006,11209074603,333496521,1047467245,12222242414,5519419104,251830195
2007,11246436552,348421607,1122719810,12811337614,5705789077,259036929
2008,11201882933,362429768,1138770910,13234704991,5872526075,259129331
2009,10999250521,367549879,1170486415,13067147049,5760080513,242528034
2010,11306792669,367088388,1247673931,13970831518,6205800436,245113511
2011,11337210528,354302880,1343287876,14781224591,6377915913,274509258
2012,11499118617,364404561,1377853661,14949696820,6507532370,275469117
2013,11586005475,369849064,1438773930,15042879961,6552317435,293199577
2014,11632233150,381462844,1493852504,15062902200,6660134271,303857982
2015,11881130860,372363911,1437304535,14718202615,6785934829,301469588
2016,11959219106,387691414,1478758083,14360627930,6967332548,298830219
2017,12130800640,422856485,1500493304,14453701688,7117014137,300871434
2018,12190054759,412217091,1566739734,14718145232,7457571949,301411020
2019,12229641805,434595520,1608471760,14573219408,7553393814,303180595
2020,11072500907,435033550,1626370966,13976098260,7399509390,297746026