year,China,US,India,Russia,Japan
1850,0,19792928,0,69299,0
1851,0,24633072,0,0,0
1852,0,26791168,0,0,0
1853,0,30162048,0,0,0
1854,0,33159200,0,0,0
1855,0,38160560,0,210133,0
1856,0,40036528,0,0,0
1857,0,41055120,0,0,0
1858,0,41648688,395050,295080,0
1859,0,45320016,637391,312964,0
1860,0,47437808,644031,413560,0
1861,0,45679088,497962,525332,0
1862,0,47448800,551078,473917,0
1863,0,54809776,610834,496272,0
1864,0,58656976,577636,556629,0
1865,0,58821856,567677,532039,0
1866,0,59232224,640711,1681064,0
1867,0,72865968,0,1929200,0
1868,0,82352064,0,1605058,10992
1869,0,93695808,0,2177335,18320
1870,0,98620224,0,2362878,18320
1871,0,103020688,0,3189997,25648
1872,0,126305408,0,3274945,32976
1873,0,139506800,0,3073754,40304
1874,0,134296592,0,3730978,586240
1875,0,135747536,0,4294313,1439952
1876,0,132820000,0,5331565,1403312
1877,0,147175552,0,5441103,1289728
1878,0,143903600,1769425,7110989,1857648
1879,0,175468960,1686677,7296532,2315648
1880,0,198684235,1889305,8559566,2348624
1881,0,210192895,1841812,9015599,2414576
1882,0,235393949,2199098,9496222,2513504
1883,0,253882570,2444169,10808436,2711360
1884,0,267589578,2733479,10973860,2956848
1885,0,272162263,2462612,11952990,3348896
1886,0,287463156,2775504,12259247,3605376
1887,0,307380841,3069893,12972358,4473744
1888,0,373875097,3413789,13531223,5169904
1889,0,335542370,4026654,14613184,6254448
1890,0,401747269,4437048,16549090,6756416
1891,0,427424599,4778195,18221212,8123088
1892,0,450449220,5253581,19287525,8075456
1893,0,454094837,5549542,22607179,8573760
1894,0,425050339,5623698,23025209,11024976
1895,0,479948081,7043481,26456636,12226768
1896,0,480882466,7617575,26932789,12915600
1897,0,500287132,8263460,31139919,13542144
1898,0,545321449,9136615,34924548,17246448
1899,95264,625534018,10067116,40515427,17272096
1900,0,662738378,11944740,45896172,19411872
1901,0,721527528,13196136,47118968,23273728
1902,95264,764495745,14533836,45509438,24944512
1903,1963904,894406917,14820573,44516895,25787232
1904,2088480,882057522,16581390,49528790,29051856
1905,2297328,986482421,16951603,44210638,29931216
1906,17110880,1035471220,19573686,50427444,32855088
1907,16839744,1203861393,21800057,56483298,35071808
1908,22731456,1052812866,24939921,56829794,37632944
1909,20837168,1165706090,24172097,59990730,38255824
1910,18748688,1271582032,23517201,58832763,39384336
1911,27846400,1258666523,24813992,60996686,44209824
1912,9786544,1343565478,28557928,69095748,49280800
1913,10757504,1442542037,31506969,75059947,54315136
1914,15106672,1317980205,31738989,67743296,58015776
1915,16088624,1367696953,33184154,62179243,52842208
1916,17964592,1518980631,33560310,66272365,58598352
1917,19851552,1670970570,35064951,60992215,67483552
1918,21042352,1747718076,39410722,24324010,71543264
1919,24255680,1479158809,43030891,20776340,79193696
1920,26769184,1738245691,34912536,18945500,74280272
1921,25288928,1423668567,37553406,20546087,66809376
1922,26633616,1435758240,36950533,25057240,71429680
1923,32151600,1896735721,38020655,27679431,75907088
1924,35093792,1698320191,40680490,32977465,79347584
1925,33221488,1758097952,40136781,32548257,82011312
1926,29590464,1905959151,39994677,47159206,82604880
1927,33525600,1862746373,41938573,58631572,89482208
1928,34107659,1830870050,40128884,65135431,92390568
1929,35804175,1963413966,41765975,70145517,94880335
1930,37907915,1744828375,42458548,95357045,86165789
1931,40240718,1484892625,38904895,114558820,77904004
1932,38584548,1257773137,36179469,129074876,77980502
1933,42194279,1348842461,35516433,144254529,91342495
1934,49254158,1436196202,39665751,174493540,101202823
1935,57596609,1492279833,41450301,197516978,106382481
1936,64955167,1713350470,40740574,226491019,116849074
1937,60490599,1792546073,45129396,231596499,125430964
1938,55302605,1515692978,50449974,244438914,131735124
1939,67113397,1670854053,49381121,247436808,127746841
1940,86046622,1874914031,52382436,296643936,153244280
1941,107517569,2043495546,53654198,260609224,154604564
1942,113740632,2198165988,53602556,141681044,147791833
1943,97178706,2271984950,46707719,147866554,150637473
1944,97768868,2444854078,47760808,214433999,138732713
1945,50347067,2359495386,52946397,227022026,76635163
1946,31259005,2257403592,52296688,255132711,52706560
1947,33553489,2485751989,53253886,307220637,70032368
1948,23836342,2582445156,53277630,326912852,88082370
1949,59360384,2164746794,56265231,371617326,98420107
1950,78835287,2541361422,61177440,414228286,102540986
1951,102115213,2618575989,64099778,448930218,123457651
1952,127999326,2551082448,67508821,480734749,130405972
1953,133782883,2612826366,68788976,508590576,145769795
1954,160877410,2489313565,72499950,555458805,142534085
1955,190521461,2728348348,78878507,629836084,141875010
1956,215823984,2859820068,81749186,690553819,160635757
1957,255784962,2835605945,91739123,755681837,188066748
1958,524617059,2746936839,95923794,806603261,181160879
1959,720151557,2831737062,101560548,848034678,192619987
1960,798799921,2897138041,111450248,882927058,232499641
1961,570630187,2886696092,120539453,910542450,282786898
1962,459618074,2993718164,132728645,955666762,292864430
1963,456779449,3126294023,142601450,1024911159,324835463
1964,460637094,3264110570,139639166,1090019669,358891094
1965,500286364,3399341865,153867847,1156311677,386471179
1966,549459318,3571208560,159540062,1221122990,419245117
1967,460225895,3705254221,159725507,1276867048,489307430
1968,495506566,3840702204,174245743,1312749468,561912555
1969,607683366,4034925667,177589111,1367141080,653215421
1970,807952627,4339471089,181898660,1437870582,767963110
1971,909209700,4365246732,192144566,1525873920,796544280
1972,968645596,4572790619,203227421,1605410945,852170216
1973,1008292576,4784822811,209291369,1673209228,914265202
1974,1028099867,4620820271,216060663,1736920950,914306206
1975,1183214956,4478038483,234438971,1825754949,868510753
1976,1226421277,4747563213,244990017,1896072664,907144545
1977,1340831115,4889398200,259214620,1960565087,933237686
1978,1492777845,4941142490,263398423,2027893811,901590083
1979,1525661148,5008358608,276542061,2044713319,953071343
1980,1494495884,4808295761,291992232,2125165158,944868566
1981,1476487854,4686171508,315265795,2084697846,926835495
1982,1606585013,4447079918,325683632,2124002311,897407791
1983,1694216811,4429186731,352530101,2154129018,880909402
1984,1844828012,4661920937,361889225,2173259315,937069892
1985,1998082904,4652382863,397952960,2343796323,912400813
1986,2104213354,4663165469,426698557,2344123760,912259933
1987,2257738539,4825444723,455758841,2355475479,902530350
1988,2425893553,5050267778,492144025,2430947449,985464274
1989,2463654367,5131926576,541134880,2400308425,1021681739
1990,2484854820,5113454675,578518195,2525517951,1158007407
1991,2606096182,5057930940,615924923,2396204964,1169691855
1992,2730787587,5167480847,656033132,1957886127,1179396064
1993,2921650956,5267343060,677916275,1859679401,1172339471
1994,3100002045,5358824048,716917563,1641616084,1227273012
1995,3357908888,5421502465,762120642,1613141141,1239619832
1996,3503233703,5610581589,825918856,1580375678,1251530853
1997,3510169286,5686464995,859686238,1475360211,1244781173
1998,3360455433,5731049595,877698067,1458367830,1204993482
1999,3350340129,5804668919,951748674,1486300503,1241611492
2000,3439152210,6010508353,978919215,1471259489,1264374642
2001,3514933795,5904881595,992560136,1507706569,1249766267
2002,3872595297,5946770566,1023027203,1495693637,1279120141
2003,4545013886,6011837495,1059616164,1525606991,1287467746
2004,5223754656,6114006880,1125471265,1530694319,1282861601
2005,5876555340,6134521473,1185953364,1547599053,1290371061
2006,6488803816,6051668046,1259744276,1606541855,1267361874
2007,6978611952,6131004158,1358152218,1604549406,1303134177
2008,7496832207,5914077766,1462814598,1636923059,1232313730
2009,7886532768,5478209686,1612816599,1528961075,1163212931
2010,8616652695,5675786435,1677887585,1613113034,1214816233
2011,9528555734,5540173478,1780129996,1665206778,1264866099
2012,9775621803,5338698344,1963586045,1680104359,1306009842
2013,9952743755,5474256770,2036937081,1619419684,1315342658
2014,9985583382,5522807202,2185855918,1622588593,1263728759
2015,9848419740,5371770557,2268567478,1623099849,1223396445
2016,9720444086,5248023931,2382223220,1618598940,1203717880
2017,9920459189,5207751278,2433855754,1646456968,1188122842
2018,10289989525,5375490614,2599805717,1691646718,1143457876
2019,10489988555,5255816207,2625968148,1679449327,1105929335
2020,10667887453,4712770573,2441792313,1577136041,1030775384
