year,China,US,India,Russia,Japan,World,UK
1800,0.0000,0.0421,0.0000,0.0000,0.0000,0.0285,2.4775
1801,0.0000,0.0437,0.0000,0.0000,0.0000,0.0283,2.4581
1802,0.0000,0.0465,0.0000,0.0000,0.0000,0.0371,2.4445
1803,0.0000,0.0468,0.0000,0.0000,0.0000,0.0317,2.7194
1804,0.0000,0.0515,0.0000,0.0000,0.0000,0.0344,2.7027
1805,0.0000,0.0517,0.0000,0.0000,0.0000,0.0334,2.7736
1806,0.0000,0.0496,0.0000,0.0000,0.0000,0.0349,2.8999
1807,0.0000,0.0551,0.0000,0.0000,0.0000,0.0365,2.8695
1808,0.0000,0.0562,0.0000,0.0000,0.0000,0.0346,2.8398
1809,0.0000,0.0567,0.0000,0.0000,0.0000,0.0345,2.8103
1810,0.0000,0.0572,0.0000,0.0000,0.0000,0.0366,2.7010
1811,0.0000,0.0596,0.0000,0.0000,0.0000,0.0385,2.7727
1812,0.0000,0.0626,0.0000,0.0000,0.0000,0.0397,2.7424
1813,0.0000,0.0652,0.0000,0.0000,0.0000,0.0396,2.6204
1814,0.0000,0.0680,0.0000,0.0000,0.0000,0.0402,2.5214
1815,0.0000,0.0706,0.0000,0.0000,0.0000,0.0412,2.4331
1816,0.0000,0.0755,0.0000,0.0000,0.0000,0.0449,2.4459
1817,0.0000,0.0791,0.0000,0.0000,0.0000,0.0462,2.3367
1818,0.0000,0.0833,0.0000,0.0000,0.0000,0.0461,2.2117
1819,0.0000,0.0788,0.0000,0.0000,0.0000,0.0460,2.1248
1820,0.0000,0.0794,0.0000,0.0000,0.0000,0.0464,2.0538
1821,0.0000,0.0806,0.0000,0.0000,0.0000,0.0468,2.0096
1822,0.0000,0.0818,0.0000,0.0000,0.0000,0.0483,2.0429
1823,0.0000,0.0829,0.0000,0.0000,0.0000,0.0508,2.1235
1824,0.0000,0.0907,0.0000,0.0000,0.0000,0.0522,2.1953
1825,0.0000,0.0987,0.0000,0.0000,0.0000,0.0538,2.1899
1826,0.0000,0.1111,0.0000,0.0000,0.0000,0.0541,2.1861
1827,0.0000,0.1189,0.0000,0.0000,0.0000,0.0576,2.2481
1828,0.0000,0.1273,0.0000,0.0000,0.0000,0.0579,2.2347
1829,0.0000,0.1394,0.0000,0.0000,0.0000,0.0573,2.2388
1830,0.0000,0.1577,0.0000,0.0003,0.0000,0.0764,2.8153
1831,0.0000,0.1663,0.0000,0.0004,0.0000,0.0721,2.6977
1832,0.0000,0.2159,0.0000,0.0003,0.0000,0.0722,2.6617
1833,0.0000,0.2451,0.0000,0.0003,0.0000,0.0733,2.6308
1834,0.0000,0.2286,0.0000,0.0000,0.0000,0.0744,2.6057
1835,0.0000,0.2838,0.0000,0.0000,0.0000,0.0757,2.5683
1836,0.0000,0.3026,0.0000,0.0000,0.0000,0.0873,2.9777
1837,0.0000,0.3301,0.0000,0.0000,0.0000,0.0868,2.8442
1838,0.0000,0.3045,0.0000,0.0000,0.0000,0.0892,2.8930
1839,0.0000,0.3247,0.0000,0.0000,0.0000,0.0917,2.9430
1840,0.0000,0.3359,0.0000,0.0000,0.0000,0.0972,3.0427
1841,0.0000,0.3452,0.0000,0.0000,0.0000,0.0998,3.0603
1842,0.0000,0.3730,0.0000,0.0000,0.0000,0.1049,3.1817
1843,0.0000,0.4062,0.0000,0.0000,0.0000,0.1072,3.3151
1844,0.0000,0.4725,0.0000,0.0000,0.0000,0.1136,3.4724
1845,0.0000,0.5520,0.0000,0.0000,0.0000,0.1241,3.7084
1846,0.0000,0.6076,0.0000,0.0000,0.0000,0.1256,3.5434
1847,0.0000,0.6990,0.0000,0.0000,0.0000,0.1366,3.8281
1848,0.0000,0.7554,0.0000,0.0000,0.0000,0.1370,4.0337
1849,0.0000,0.7957,0.0000,0.0000,0.0000,0.1441,4.2710
1850,0.0000,0.8387,0.0000,0.0017,0.0000,0.1540,4.4985
1851,0.0000,1.0123,0.0000,0.0000,0.0000,0.1552,4.2612
1852,0.0000,1.0677,0.0000,0.0000,0.0000,0.1617,4.2234
1853,0.0000,1.1658,0.0000,0.0000,0.0000,0.1690,4.1740
1854,0.0000,1.2430,0.0000,0.0000,0.0000,0.1982,4.9986
1855,0.0000,1.3873,0.0000,0.0049,0.0000,0.2018,4.6516
1856,0.0000,1.4116,0.0000,0.0000,0.0000,0.2147,4.9747
1857,0.0000,1.4038,0.0000,0.0000,0.0000,0.2163,4.8553
1858,0.0000,1.3811,0.0016,0.0066,0.0000,0.2192,4.7290
1859,0.0000,1.4596,0.0026,0.0070,0.0000,0.2320,5.2154
1860,0.0000,1.4858,0.0026,0.0091,0.0000,0.2537,5.7976
1861,0.0000,1.3932,0.0020,0.0115,0.0000,0.2664,5.9969
1862,0.0000,1.4110,0.0022,0.0103,0.0000,0.2704,5.7593
1863,0.0000,1.5913,0.0025,0.0107,0.0000,0.2877,6.0731
1864,0.0000,1.6625,0.0023,0.0119,0.0000,0.3089,6.4791
1865,0.0000,1.6276,0.0023,0.0112,0.0000,0.3270,6.8080
1866,0.0000,1.6001,0.0025,0.0352,0.0000,0.3362,6.9556
1867,0.0000,1.9217,0.0000,0.0400,0.0000,0.3589,7.0807
1868,0.0000,2.1203,0.0000,0.0330,0.0003,0.3674,6.8867
1869,0.0000,2.3555,0.0000,0.0444,0.0005,0.3886,7.1623
1870,0.0000,2.4213,0.0000,0.0477,0.0005,0.3950,7.2496
1871,0.0000,2.4705,0.0000,0.0639,0.0007,0.4184,7.6079
1872,0.0000,2.9589,0.0000,0.0650,0.0009,0.4605,7.9382
1873,0.0000,3.1931,0.0000,0.0605,0.0012,0.4865,8.1579
1874,0.0000,3.0033,0.0000,0.0727,0.0166,0.4529,7.8495
1875,0.0000,2.9661,0.0000,0.0830,0.0406,0.4886,8.2042
1876,0.0000,2.8355,0.0000,0.1021,0.0393,0.4928,8.1093
1877,0.0000,3.0698,0.0000,0.1032,0.0359,0.4997,8.1739
1878,0.0000,2.9327,0.0068,0.1337,0.0514,0.5006,7.9488
1879,0.0000,3.4939,0.0065,0.1359,0.0636,0.5333,7.9219
1880,0.0000,3.8652,0.0072,0.1580,0.0640,0.5987,8.5544
1881,0.0000,3.9951,0.0070,0.1649,0.0653,0.6152,8.9128
1882,0.0000,4.3712,0.0083,0.1722,0.0675,0.6451,8.9129
1883,0.0000,4.6061,0.0091,0.1942,0.0722,0.6809,9.1995
1884,0.0000,4.7431,0.0101,0.1954,0.0781,0.6834,8.8851
1885,0.0000,4.7132,0.0090,0.2109,0.0877,0.6833,8.7084
1886,0.0000,4.8637,0.0101,0.2143,0.0936,0.6887,8.5599
1887,0.0000,5.0811,0.0111,0.2248,0.1152,0.7175,8.7088
1888,0.0000,6.0381,0.0122,0.2323,0.1320,0.7884,8.9817
1889,0.0000,5.2986,0.0143,0.2486,0.1583,0.7822,9.2239
1890,0.0000,6.2081,0.0156,0.2790,0.1696,0.8451,9.3564
1891,0.0000,6.4683,0.0168,0.3044,0.2020,0.8790,9.4690
1892,0.0000,6.6809,0.0184,0.3193,0.1990,0.8802,9.1879
1893,0.0000,6.6057,0.0194,0.3709,0.2093,0.8638,8.1525
1894,0.0000,6.0645,0.0196,0.3744,0.2666,0.8880,9.2476
1895,0.0000,6.7163,0.0245,0.4263,0.2929,0.9351,9.2476
1896,0.0000,6.6002,0.0264,0.4300,0.3065,0.9590,9.4217
1897,0.0000,6.7347,0.0286,0.4927,0.3184,0.9975,9.5808
1898,0.0000,7.2000,0.0315,0.5476,0.4017,1.0449,9.5127
1899,0.0002,8.0994,0.0346,0.6295,0.3983,1.1333,10.0982
1900,0.0000,8.4143,0.0409,0.7067,0.4431,1.1850,10.1306
1901,0.0000,8.9814,0.0450,0.7189,0.5257,1.2158,9.8224
1902,0.0002,9.3288,0.0493,0.6881,0.5572,1.2363,10.1122
1903,0.0048,10.6978,0.0499,0.6670,0.5695,1.3373,10.1013
1904,0.0051,10.3411,0.0555,0.7354,0.6343,1.3410,10.0587
1905,0.0056,11.3363,0.0564,0.6505,0.6461,1.4155,10.1008
1906,0.0412,11.6635,0.0647,0.7353,0.7012,1.4738,10.3701
1907,0.0403,13.2916,0.0715,0.8161,0.7400,1.6518,10.7368
1908,0.0541,11.3937,0.0813,0.8137,0.7850,1.5755,10.3810
1909,0.0493,12.3790,0.0784,0.8512,0.7889,1.6246,10.3907
1910,0.0440,13.2645,0.0759,0.8273,0.8028,1.6883,10.3986
1911,0.0647,12.9110,0.0798,0.8503,0.8907,1.7078,10.5909
1912,0.0225,13.5663,0.0916,0.9545,0.9813,1.7758,9.9786
1913,0.0245,14.3525,0.1009,1.0275,1.0689,1.9079,10.8607
1914,0.0340,12.9212,0.1015,0.9189,1.1283,1.7190,10.4856
1915,0.0358,13.2123,0.1060,0.8358,1.0156,1.6838,10.5768
1916,0.0396,14.4590,0.1070,0.8828,1.1130,1.8049,10.9100
1917,0.0432,15.6730,0.1116,0.8051,1.2667,1.8746,10.7368
1918,0.0453,16.1623,0.1253,0.3182,1.3269,1.8359,9.9600
1919,0.0518,13.4852,0.1364,0.2693,1.4507,1.5793,9.7032
1920,0.0567,15.6217,0.1102,0.2433,1.3434,1.8210,9.9975
1921,0.0532,12.6114,0.1178,0.2614,1.1924,1.5859,6.7890
1922,0.0558,12.5353,0.1150,0.3159,1.2577,1.6495,9.0979
1923,0.0671,16.3202,0.1172,0.3458,1.3179,1.8555,9.6845
1924,0.0729,14.4013,0.1242,0.4082,1.3585,1.8450,10.1544
1925,0.0688,14.6923,0.1213,0.3992,1.3846,1.8490,9.6126
1926,0.0611,15.6973,0.1197,0.5731,1.3753,1.7993,5.2777
1927,0.0690,15.1192,0.1244,0.7060,1.4691,1.9478,10.0189
1928,0.0699,14.6453,0.1179,0.7771,1.4957,1.9212,9.4137
1929,0.0731,15.5022,0.1214,0.8293,1.5151,2.0441,9.9156
1930,0.0770,13.6188,0.1220,1.1170,1.3574,1.8645,9.4863
1931,0.0814,11.4747,0.1104,1.3296,1.2111,1.6517,8.8462
1932,0.0776,9.6374,0.1014,1.4844,1.1966,1.4738,8.4655
1933,0.0844,10.2631,0.0981,1.6438,1.3838,1.5361,8.3434
1934,0.0979,10.8515,0.1081,1.9702,1.5137,1.6535,8.9589
1935,0.1138,11.1966,0.1114,2.2097,1.5710,1.7174,9.0384
1936,0.1276,12.7656,0.1079,2.5107,1.7036,1.8674,9.5106
1937,0.1181,13.2625,0.1179,2.5438,1.8055,1.9759,9.7620
1938,0.1073,11.1359,0.1300,2.6603,1.8721,1.8397,9.3149
1939,0.1295,12.1734,0.1260,2.6683,1.7919,1.9270,9.3431
1940,0.1651,13.5274,0.1330,3.1696,2.1214,2.0839,9.7670
1941,0.2052,14.5805,0.1360,2.7591,2.1116,2.1150,9.6124
1942,0.2159,15.4896,0.1363,1.4863,1.9912,2.0897,9.5578
1943,0.1835,15.7903,0.1197,1.5370,2.0016,2.1091,9.2351
1944,0.1836,16.7588,0.1233,2.2085,1.8181,2.1276,8.9406
1945,0.0941,15.9519,0.1377,2.3168,0.9905,1.7559,8.4145
1946,0.0581,15.0525,0.1370,2.5798,0.6719,1.9028,8.7534
1947,0.0620,16.3479,0.1406,3.0781,0.8804,2.0905,9.2223
1948,0.0438,16.7510,0.1417,3.2454,1.0921,2.1826,9.4714
1949,0.1083,13.8397,0.1500,3.6555,1.2041,2.0966,9.6232
1950,0.1422,16.0031,0.1626,4.0295,1.2384,2.3666,9.8939
1951,0.1792,16.2774,0.1676,4.3040,1.4642,2.4689,10.7753
1952,0.2197,15.6253,0.1736,4.5366,1.5224,2.4576,10.4382
1953,0.2255,15.7485,0.1739,4.7211,1.6780,2.4827,10.6443
1954,0.2668,14.7527,0.1801,5.0710,1.6201,2.4919,10.8666
1955,0.3112,15.8916,0.1924,5.6561,1.5938,2.6842,11.2986
1956,0.3473,16.3694,0.1958,6.1028,1.7848,2.8076,11.2028
1957,0.4056,15.9526,0.2157,6.5761,2.0677,2.8488,11.0828
1958,0.8193,15.1942,0.2213,6.9164,1.9718,2.8771,10.7491
1959,1.1076,15.4078,0.2299,7.1700,2.0760,2.9723,10.5024
1960,1.2096,15.5159,0.2474,7.3656,2.4820,3.0927,11.1517
1961,0.8505,15.2276,0.2622,7.5001,2.9905,3.0459,11.1633
1962,0.6738,15.5668,0.2830,7.7786,3.0680,3.0948,11.1643
1963,0.6579,16.0378,0.2978,8.2514,3.3700,3.1989,11.2781
1964,0.6504,16.5348,0.2856,8.6902,3.6855,3.3076,11.2813
1965,0.6908,17.0194,0.3083,9.1405,3.9257,3.3888,11.4694
1966,0.7401,17.6884,0.3130,9.5837,4.2095,3.4818,11.3265
1967,0.6035,18.1715,0.3069,9.9609,4.8532,3.5194,10.7909
1968,0.6320,18.6618,0.3278,10.1874,5.5023,3.6350,11.0005
1969,0.7540,19.4305,0.3270,10.5573,6.3115,3.7970,11.3492
1970,0.9763,20.7121,0.3276,11.0479,7.3189,4.0256,11.7426
1971,1.0712,20.6508,0.3384,11.6630,7.4844,4.1047,11.8458
1972,1.1140,21.4413,0.3497,12.2048,7.8922,4.2115,11.5942
1973,1.1336,22.2365,0.3519,12.6494,8.3473,4.3482,11.7768
1974,1.1317,21.2828,0.3549,13.0564,8.2353,4.2484,11.0030
1975,1.2774,20.4401,0.3762,13.6449,7.7260,4.1786,10.7430
1976,1.3010,21.4738,0.3842,14.0871,7.9799,4.3286,10.6521
1977,1.3998,21.9122,0.3973,14.4784,8.1273,4.3727,10.7531
1978,1.5355,21.9389,0.3946,14.8826,7.7804,4.4297,10.7589
1979,1.5471,22.0303,0.4049,14.9097,8.1552,4.4767,11.4672
1980,1.4944,20.9533,0.4178,15.3938,8.0198,4.3722,10.3014
1981,1.4561,20.2308,0.4407,14.9985,7.8061,4.1937,9.9706
1982,1.5629,19.0191,0.4448,15.1764,7.5031,4.0880,9.7480
1983,1.6253,18.7653,0.4704,15.2845,7.3148,4.0425,9.6929
1984,1.7434,19.5668,0.4719,15.3113,7.7323,4.1088,9.3925
1985,1.8577,19.3446,0.5074,16.3951,7.4858,4.1712,9.9201
1986,1.9216,19.2087,0.5321,16.2792,7.4465,4.1567,10.0589
1987,2.0229,19.6915,0.5560,16.2410,7.3333,4.2090,10.0897
1988,2.1322,20.4157,0.5877,16.6488,7.9740,4.2953,10.0381
1989,2.1269,20.5502,0.6327,16.3438,8.2355,4.2782,10.2077
1990,2.1114,20.2818,0.6625,17.1185,9.3009,4.2702,10.5076
1991,2.1847,19.8709,0.6911,16.1911,9.3628,4.2920,10.6200
1992,2.2630,20.1077,0.7215,13.2050,9.4102,4.1044,10.3207
1993,2.3971,20.2955,0.7310,12.5338,9.3259,4.0855,10.0454
1994,2.5203,20.4347,0.7582,11.0659,9.7362,4.0551,9.9482
1995,2.7060,20.4459,0.7906,10.8829,9.8098,4.0831,9.7798
1996,2.7989,20.9089,0.8407,10.6767,9.8823,4.1469,10.1213
1997,2.7814,20.9282,0.8589,9.9869,9.8097,4.1152,9.6443
1998,2.6419,20.8269,0.8609,9.8966,9.4794,4.0446,9.7009
1999,2.6144,20.8390,0.9169,10.1167,9.7514,4.0432,9.5563
2000,2.6649,21.3357,0.9265,10.0493,9.9148,4.1073,9.6326
2001,2.7056,20.7474,0.9233,10.3387,9.7857,4.0899,9.7475
2002,2.9622,20.7003,0.9357,10.2998,10.0015,4.1319,9.4404
2003,3.4555,20.7437,0.9533,10.5497,10.0538,4.2885,9.5947
2004,3.9482,20.9130,0.9963,10.6239,10.0064,4.4305,9.5687
2005,4.4159,20.7954,1.0334,10.7717,10.0554,4.5249,9.4540
2006,4.8481,20.3240,1.0809,11.2030,9.8687,4.6172,9.3318
2007,5.1847,20.3953,1.1479,11.1998,10.1416,4.6962,9.0999
2008,5.5386,19.4872,1.2183,11.4271,9.5871,4.7235,8.7617
2009,5.7939,17.8847,1.3244,10.6676,9.0484,4.5987,7.8610
2010,6.2950,18.3676,1.3594,11.2428,9.4507,4.7927,8.0623
2011,6.9223,17.7807,1.4238,11.5878,9.8434,4.8950,7.3327
2012,7.0623,16.9998,1.5513,11.6679,10.1695,4.9079,7.5554
2013,7.1506,17.3017,1.5903,11.2206,10.2510,4.8930,7.3462
2014,7.1353,17.3306,1.6871,11.2162,9.8599,4.8707,6.7032
2015,7.0003,16.7408,1.7315,11.1949,9.5589,4.8097,6.4127
2016,6.8742,16.2469,1.7986,11.1416,9.4215,4.7496,6.0234
2017,6.9812,16.0197,1.8181,11.3135,9.3184,4.7595,5.8082
2018,7.2077,16.4340,1.9220,11.6078,8.9893,4.8022,5.6878
2019,7.3163,15.9720,1.9218,11.5132,8.7177,4.7582,5.4644
2020,7.4117,14.2379,1.7694,10.8072,8.1499,4.4654,4.8549
